SKU,Item Name,Category,Country,Brand,CY Sales (YTD),PY Sales (YTD),YoY Sales %,CY Revenue (YTD),Weekly Run Rate,Monthly Target,Weekly Target,Annual Target,Expected YTD,YTD Variance,Sales Pace %,Sales Health,Remaining Target,Req. Weekly Sales,Req. Monthly Sales,Effort Multiplier,Total Stock,TWC Stock,Bonded Stock,Stock Coverage (Mo),Stock Coverage (Wk),TWC Coverage (Mo),TWC Coverage (Wk),Wks Until Stockout,Stockout Risk,Bonded Reorder,TWC Reorder,Bonded Est. Reorder Qty,TWC Est. Reorder Qty,CY Purchases,PY Purchases,Stock Turnover
015-010,VacuVin Wine Active Cooler Elegant Black,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,16,16,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-011,VacuVin Wine Active Cooler Elegant Stainless Steel,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,25,25,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-012,VacuVin Wine Collars,Accessories,Netherlands,VacuVin,1.0,0.0,,30508.0,0.125,0.09999999999999999,0.023076923076923075,1.2,0.1846153846153846,0.8153846153846154,4.416666666666667,Ahead,0.19999999999999996,0.004545454545454544,0.019696969696969692,0.19696969696969693,5,5,0,9.250000000000002,40.0,9.250000000000002,40.0,40.0,,,,0.0,0.0,0.0,0.0,0.16666666666666666
015-013,VacuVin Snap Thermometer,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.09999999999999999,0.023076923076923075,1.2,0.1846153846153846,-0.1846153846153846,-1.0,Critical,1.2,0.02727272727272727,0.11818181818181818,1.1818181818181819,13,13,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-014,VacuVin Wine Aerator,Accessories,Netherlands,VacuVin,1.0,0.0,,23729.0,0.125,0.09999999999999999,0.023076923076923075,1.2,0.1846153846153846,0.8153846153846154,4.416666666666667,Ahead,0.19999999999999996,0.004545454545454544,0.019696969696969692,0.19696969696969693,3,3,0,5.550000000000001,24.0,5.550000000000001,24.0,24.0,,,,0.0,0.0,0.0,0.0,0.25
015-015,VacuVin Server Crystal Black,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,37,37,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-016,VacuVin Saver Black + Stoppers,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,1.3,0.30000000000000004,15.600000000000001,2.4000000000000004,-2.4000000000000004,-1.0,Critical,15.600000000000001,0.35454545454545455,1.5363636363636364,1.1818181818181817,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,
015-017,VacuVin Wine Saver White + Stoppers,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.09999999999999999,0.023076923076923075,1.2,0.1846153846153846,-0.1846153846153846,-1.0,Critical,1.2,0.02727272727272727,0.11818181818181818,1.1818181818181819,19,19,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-020,VacuVin Vacuum Wine Stoppers Grey,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,2.3,0.5307692307692308,27.599999999999998,4.246153846153846,-4.246153846153846,-1.0,Critical,27.599999999999998,0.6272727272727272,2.7181818181818183,1.1818181818181817,30,30,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-021,VacuVin Wine Stoppers Multicolour,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,19,19,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-023,VacuVin Bottle Stoppers,Accessories,Netherlands,VacuVin,1.0,1.0,0.0,10169.0,0.125,0.09999999999999999,0.023076923076923075,1.2,0.1846153846153846,0.8153846153846154,4.416666666666667,Ahead,0.19999999999999996,0.004545454545454544,0.019696969696969692,0.19696969696969693,13,13,0,24.050000000000004,104.0,24.050000000000004,104.0,104.0,,,,0.0,0.0,0.0,0.0,0.07142857142857142
015-024,VacuVin Layer Tool,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,1,1,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
015-026,VacuVin Whiskey Stones,Accessories,Netherlands,VacuVin,1.0,0.0,,33051.0,0.125,0.09999999999999999,0.023076923076923075,1.2,0.1846153846153846,0.8153846153846154,4.416666666666667,Ahead,0.19999999999999996,0.004545454545454544,0.019696969696969692,0.19696969696969693,11,11,0,20.35,88.0,20.35,88.0,88.0,,,,0.0,0.0,0.0,0.0,0.08333333333333333
015-028,VacuVin Slow Pourer,Accessories,Netherlands,VacuVin,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15,15,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0
